0,1,2
1.2718375e-06,0.9980878,0.98894775
4.9235045e-06,0.99638474,0.9826644
9.653932e-06,0.9950569,0.9792553
1.763798e-05,0.99346155,0.9748407
9.58256e-06,0.99555916,0.97586185
4.163639e-05,0.9876451,0.97206086
0.00013912865,0.96965843,0.9580987
4.8295187e-05,0.9851039,0.9705421
2.2862027e-05,0.9901946,0.9764071
3.30137e-05,0.9879136,0.9734331
1.6552501e-06,0.99758077,0.9899271
6.242836e-06,0.99501026,0.9848898
1.606107e-06,0.99770236,0.98981446
2.859516e-06,0.9967521,0.98809063
2.6491085e-07,0.99908185,0.9940464
3.2632605e-07,0.99911475,0.9929333
1.2212944e-07,0.9995361,0.99429274
3.6574082e-07,0.999033,0.9927084
2.536413e-07,0.9993441,0.99216723
5.47865e-07,0.9988446,0.99089324
2.1752145e-07,0.99961627,0.99000764
3.6178808e-08,0.99984217,0.99497914
1.1213385e-07,0.99960536,0.9940584
5.338001e-07,0.9983585,0.99375653
6.968834e-08,0.9997436,0.994434
9.58579e-09,0.9999101,0.9970093
9.494448e-08,0.9993299,0.99666584
9.263633e-09,0.9999149,0.9969807
1.8228009e-07,0.9993183,0.99383885
2.0844052e-08,0.99990267,0.99475384
1.2926533e-07,0.99972403,0.99078035
3.267367e-08,0.999849,0.99478483
7.462234e-07,0.9984412,0.9925005
8.993536e-08,0.9997275,0.9930977
3.412492e-06,0.99599636,0.9881629
2.9465943e-06,0.9968066,0.9891889
2.0523262e-06,0.9974228,0.9893667
1.1250527e-05,0.9922673,0.98331416
2.3375468e-07,0.9991482,0.9941929
1.7942774e-07,0.999407,0.9937383
1.7237572e-07,0.99943686,0.9935589
1.896223e-07,0.9995894,0.9920546
2.1034481e-07,0.99955994,0.991092
1.200426e-07,0.99950266,0.99459743
7.685876e-07,0.9978251,0.9933433
1.6340373e-07,0.9993347,0.9944994
3.0633223e-07,0.9992743,0.9919489
2.8284376e-07,0.9992583,0.9919763
